"Date";"Event";"AgeGroup";"RegionName";"New";"Cumulative";"Instant"
"2020-03-21";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-21";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-21";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-21";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-21";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-21";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-21";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-21";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-21";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-21";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-22";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-22";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-22";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-22";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-22";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-22";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-22";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-22";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-22";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-22";"Hospitalised";"60+";"Zealand";NA;NA;NA
